Kategori,Başlık,İçerik
Çevre,Bodrum’a su sağlayan barajlarda su bitti,Dünyaca ünlü turizm kenti Bodrum’un su ihtiyacını karşılayan Bodrum Mumcular ve Milas Geyik Barajı'nda su bitti.
Çevre,"Türkiye ve AB şehirleri, iklim değişikliği alanında ortak projeler geliştirecek","Avrupa Birliği (AB) ülkelerinden ve Türkiye'den şehirlerin, eşleşerek iklim değişikliği alanında imza atacağı 26 projenin açılışı yapıldı."
Çevre,"İspanya, 2022'de son 700 yılın en sıcak yazını yaşadı","İspanya'dan bilim insanları, geçen yıl ülkede son 700 yılın en sıcak yazının yaşandığını bildirdi."
Çevre,12. Türkiye Rüzgar Enerjisi Kongresi 7-8 Kasım'da İstanbul'da yapılacak,"Türkiye Rüzgar Enerjisi Birliği (TÜREB) tarafından düzenlenen Türkiye Rüzgar Enerjisi Kongresi (TÜREK), ""Rüzgarın Yüzyılı"" temasıyla 7-8 Kasım'da İstanbul'da gerçekleştirilecek."
Çevre,"Su seviyesi yüzde 80 düştü, ağaçlar ortaya çıktı",Tokat’ta tarımsal sulamada kullanılan Akın Göletinde su seviyesinin yaklaşık yüzde 80 oranında düşmesi sonucu ağaçların dalları su yüzeyine çıktı.
Çevre,"Hindistan'ın başkenti Yeni Delhi'de hava kirliliği ""düşük"" kategorisine ulaştı","Hindistan'ın başkenti Yeni Delhi'de hava kirliliği seviyesi ""düşük"" kategorisine gerilerken, hükümetin ""Aşamalı Mücadele Eylem Planı'nı (GRAP)"" devreye sokması bekleniyor."
Çevre,Bu kış nasıl geçecek? Kar yağışı ne zaman geliyor?,Hem sıcak hem de kurak geçen ilkbahar ve yaz aylarının ardından gözler şimdi sonbahar ve kışa çevrildi. Meteorolojik verileri değerlendiren uzmanlar bu yıl El Nino hava akımının etkili olduğuna dikkati çekiyor. Bu durumun Türkiye için yağış anlamına geldiği belirtiliyor. Peki ama ne zaman?
Çevre,Fukuşima Dai-içi Nükleer Santrali'ndeki atık suyun okyanusa boşaltılmasında ikinci evre başladı,Japonya'daki Fukuşima Dai-içi Nükleer Santrali'nde biriken radyoaktif özellikli işlenmiş atık suyun okyanusa boşaltılmasında ikinci evreye geçildi.
Çevre,İstanbul'un barajlarındaki su seviyesi sağanağın ardından yükseldi,"İstanbul'a su sağlayan barajlar 5 günlük sağanakta 17 milyon 700 bin metreküp su alırken, doluluk oranı da yüzde 23,49'a çıktı."
Çevre,"IMF, iklim yatırımları için daha fazla özel sektör finansmanına ihtiyaç duyulduğunu bildirdi","Uluslararası Para Fonu (IMF), yükselen piyasalar ve gelişmekte olan ekonomilerde, zorlu piyasa koşullarında sınırlı mali alan göz önüne alındığında, iklim değişikliğinin etkilerinin hafifletilmesine yönelik yatırımların finansmanında özel sektörün kilit bir rol oynaması gerekeceğine işaret etti."
Çevre,Fırat ve Dicle nehirlerindeki çoklu baskılar balık türlerini tehdit ediyor,"İklim değişikliği, aşırı su tüketimi, kirlilik ve istilacı türler gibi baskılar Fırat ve Dicle nehirlerindeki balık türlerinin neslini tehdit ediyor. Uzmanlar, bu nehirlerdeki balıklarda tespit edilen mikroplastik miktarının çok yüksek olduğunu belirtiyor."
Çevre,Marmara Gölü'nden geriye tabelalar ve hurdaya dönmüş tekneler kaldı,Manisa'da doğal ve beşeri nedenlerle kuruyan Marmara Gölü'nden geriye tabelalar ve hurdaya dönmüş balıkçı tekneleri kaldı.
Çevre,Karadeniz için kritik uyarı: Deniz suyu sıcaklıkları sel riski oluşturuyor,"2023 yazında seyreden yüksek kara sıcaklıkları denizleri de olumsuz etkiledi. Serin suyuyla bilinen Karadeniz de bundan nasibini aldı. Uzmanlara göre Karadeniz’de su sıcaklığının yüksek seyretmesi, sel ve taşkın gibi afetlere davetiye çıkarıyor."
Çevre,Pembe flamingoların göç yolundaki Sicumi Göleti çevre kirliliğinin tehdidi altında,"Tunus’ta artan çevre kirliliği, her yıl göç mevsiminde binlerce pembe flamingoya ev sahipliği yapan Sicumi Göleti'ni tehdit ediyor."
Çevre,"İngiltere'de tek kullanımlık plastik çatal, bıçak, tabak ve tepsi yasağı başlıyor","İngiltere'de tek kullanımlık çatal, kaçık, bıçak, tabak ve strafor tepsi kullanımına getirilen yasak Pazar günü (1 Ekim) uygulanmaya başlıyor."
Çevre,İsviçre'deki buzulların hacminde son 2 yılda yüzde 10 azalma görüldü,Son yılların en sıcak yazlarından birini yaşayan İsviçre'de buzulların hacminin son 2 yılda yüzde 10 azaldığı tespit edildi.
Çevre,Yıl başından bu yana 34 bin çevre denetimi gerçekleştirildi,"Bakan Özhaseki, ""425 adet Sürekli Atık Su İzleme İstasyonumuzla, atık su arıtma tesislerimizi 7/24 online takip ediyor; su kirliliğinin önüne geçiyoruz. 2023 yılı itibarıyla 34 bin 519 çevre denetimi gerçekleştirdik"" açıklamasını yaptı."
DOSYA HABER,Sıfır Atık 6 yılda tüm dünyaya yayıldı,"Emine Erdoğan tarafından başlatılan ""Sıfır Atık"" projesi, aradan geçen zamanda binlerce ton atığın geri dönüşüme kazandırılmasını sağlarken, BM tarafından desteklenen küresel bir politika haline geldi. 30 Mart artık dünyada ""Sıfır Atık Günü"" olarak kutlanıyor ve projeye ödüller gelmeye devam ediyor."
Çevre,Kuruyan gölde duvar kalıntıları ve mikrobiyalitler gün yüzüne çıktı,"Bitlis'in Adilcevaz ilçesi sınırlarında bulunan Arin Gölü'nde, kuraklık ve iklim değişikliği, duvar kalıntıları ile mikrobiyalitlerin ortaya çıkmasına neden oldu."
Çevre,Saka kuşlarını avlayan 2 şahıs suç üstü yakalandı: 73 bin TL ceza,"Mersin Erdemli'de çok sayıda saka kuşunu avlayan 2 şüpheli tespit edilip yakalandı. Yakalanan şüphelilere 73 bin 456 TL para cezası kesilirken, saka kuşları tekrar doğal ortamına salındı."
Çevre,Emine Erdoğan'ın öncülüğündeki 'Küresel Sıfır Atık Hareketine Doğru' etkinliği çevre projelerine ilham oldu,"Birleşmiş Milletler (BM) 78. Genel Kurulu'nun yan etkinliği olarak New York'ta Türkevi'nde Emine Erdoğan'ın öncülüğünde düzenlenen ""Küresel Sıfır Atık Hareketine Doğru"" etkinliği, ""Sıfır Atık"" konusunda çok sayıda çevre ve geri dönüşüm projelerine ilham kaynağı oldu."
Çevre,Ihlara Vadisi'ndeki bitki ve hayvan türleri kayıt altına alındı,"Çevre, Şehircilik ve İklim Değişikliği Bakanı Mehmet Özhaseki, Özel Çevre Koruma Bölgesi olan Ihlara Vadisi'nde yürütülen biyolojik çeşitlilik çalışmasıyla 84 kuş, 11 balık, 294 böcek ve 11 sürüngen türü ile 179 tohumlu, 11 tohumsuz bitki türünü tespit ettiklerini açıkladı."
Çevre,Kentler sele karşı taşkın ve yağmur suyu depolama alanlarıyla dirençli hale getirilebilir,"Samsun Ondokuz Mayıs Üniversitesi (OMÜ) Mimarlık Fakültesi Şehir ve Bölge Planlama Bölümü'nden Dr. Öğretim Üyesi Tuğçe Şanlı Katı, kentlerin sele karşı taşkın ve yağmur suyu depolama alanlarıyla dirençli hale getirilebileceğini söyledi."
Çevre,Dünya 1.5 derecelik küresel ısınma sınırını aşma yolunda,"Gezegenimiz, 1.5 derecelik küresel ısınma sınırına dayanma eğiliminde. Bu da ciddi iklim değişikliği tehditlerini artırabilir. Öyle ki bazı kurumlarca hazırlanan raporlar, bu tehdidin çok da uzak olmadığını gösteriyor. Sera gazı emisyonlarının hızla azaltılması ve sürdürülebilir enerjiye geçiş, sıcaklığı korumak için alınması gereken önlemlerden."
Çevre,Yüksek sıcaklıklar denizlerdeki ekosistemi tehdit ediyor,"Orta Doğu Teknik Üniversitesi (ODTÜ) Deniz Bilimleri Enstitüsü ve ODTÜ İklim Müdürü Prof. Dr. Barış Salihoğlu, Türkiye'yi çevreleyen denizlerde yüzey suyu sıcaklıklarının deniz ekosisteminde değişimlere neden olduğunu, iklime dirençli şehirler gibi iklime dirençli deniz ekosisteminin hayata geçirilmesi gerektiğini söyledi."
Çevre,Kayseri'deki katı atık depolama tesisi 140 milyon metreküp sera gazı salımını engelledi,Kayseri Büyükşehir Belediyesi tarafından kurulan Katı Atık Düzenli Depolama Tesisi sayesinde 7 yılda 140 milyon metreküp sera gazı salımı engellendi.
ÖZEL HABER,Geçmeyen tehdit: Orman yangınları,Türkiye ve dünyada orman yangınları artarak devam ediyor. Çanakkale’de çıkan yangın da bunun en yakın örneği. Uzmanlara göre küresel iklim değişikliği artan yangınların temelini oluşturuyor. Ancak tek sebep bu değil.
Çevre,Türkiye'nin 2030 iklim hedefleri için eylem planları hazır,"Çevre, Şehircilik ve İklim Değişikliği Bakanlığı İklim Değişikliği Başkanı Prof. Dr. Halil Hasar, 2023-2030 İklim Değişikliği Azaltım Eylem Planı'nın temel amacının 2030 yılına kadarki olağan senaryoya göre yüzde 41 sera gazı emisyonu azaltım hedefine ulaşmak olduğunu söyledi."
Çevre,"Emine Erdoğan, başkanlığını yaptığı BM Sıfır Atık Danışma Kurulu üyeleriyle bir araya geldi","Cumhurbaşkanı Recep Tayyip Erdoğan'ın eşi Emine Erdoğan, başkanlığını üstlendiği Birleşmiş Miletler (BM) Sıfır Atık Yüksek Düzeyli Şahsiyetler Danışma Kurulu üyeleri ile New York'ta düzenlenen yemekte bir araya geldi."
Çevre,Fransa'da kayak merkezi kar eksikliği nedeniyle kalıcı olarak kapandı,"Fransız Alpleri'ndeki bir kayak merkezi, küresel ısınmanın neden olduğu kar eksikliğinin kayak sezonunu sadece birkaç haftaya indirmesinin ardından kapılarını kalıcı olarak kapattı."
Çevre,"Antarktika'daki deniz buzu seviyesi, mevsimsel ortalamanın çok altında","Antarktika'dan alınan uydu verileri, bölgedeki deniz buzu seviyesinin, küresel ısınma nedeniyle mevsimsel ortalamanın çok altında olduğunu ortaya çıkardı."
DOSYA HABER,Küçük ada ülkeleri dava açtı: Su altında kalırlarsa sorumlu kim?,"Küçük ada ülkeleri, yüksek emisyon salımı yapan ülkelerle karşı karşıya geldi. Bu ülkelerin iklim değişikliği nedeniyle sorumluluklarının ne olduğu sorularını mahkemeye yöneltti. Mahkemenin konu hakkındaki görüşlerinin uluslararası hukuku şekillendireceğini belirten uzmanlar, davanın iddialı bir hukuki talep olduğunu söylüyor."
Çevre,Dünya Meteoroloji Örgütü: 1970-2021 yıllarında yaklaşık 12 bin aşırı iklim olayı rapor edildi,"Dünya Meteoroloji Örgütü (WMO), 1970-2021 yıllarında rapor edilen yaklaşık 12 bin aşırı iklim olayının 2 milyondan fazla kişinin ölümüne yol açtığını bildirdi."
ÖZEL HABER,Türkiye sonbaharda yağış alacak mı?,Eylül ayı Türkiye genelinde kurak geçiyor. Ekim ve kasımda hasret kalınan yağışların görülmesi bekleniyor. Kış aylarının ise karlı geçeceği yönünde tahminler var.
Çevre,"AB, uçaklarda sürdürülebilir yakıt kullanımını artırıyor","Avrupa Parlamentosu (AP), Avrupa Birliği (AB) ülkelerindeki havacılık sektöründe sürdürülebilir yakıtların kullanımının aşamalı biçimde artırılması ve 2050'de yüzde 70'e yükseltilmesini onayladı."
Çevre,Almanya BM'nin açık denizlerde biyolojik çeşitliliğin korunması anlaşmasını imzalayacak,"Alman hükümeti, Birleşmiş Milletlerin (BM) açık denizlerde biyolojik çeşitliliğin korunması anlaşmasını imzalamayı kabul etti."
Çevre,G20'de Sıfır Atık vurgusu: Proje her geçen gün büyüyor,"Çevre, Şehircilik ve İklim Değişikliği Bakanı Özhaseki, G20 Liderler Zirvesi bildirgesinde ""Sıfır Atık girişimlerinin önemini vurgulama"" ibaresinin de yer aldığını açıkladı, ""Sıfır Atık, uluslararası anlamda değer taşıyan bir ilke olma yolunda emin adımlarla ilerliyor"" dedi."
ÖZEL HABER,Libya'yı vuran fırtına Türkiye’de de görülebilir mi?,Daniel Fırtınası Libya'yı yıkıp geçti. Ardından meydana gelen selde şimdiye dek 3 bini aşkın kişinin hayatını kaybettiği açıklandı. Peki Türkiye’de de bu tip meteorolojik olaylar görülebilir mi? Uzmanlar kasırga değil ama “medicane” adı verilen fırtınaların görülebileceğini söylüyor.
Çevre,Tekstilde su kullanımı hızlı moda akımıyla artıyor,"Yılda yaklaşık 79 milyar metreküp su kullanılan tekstil sektöründeki bu miktarın hızlı moda akımıyla 2030'da 120 milyon metreküpe çıkması beklenirken uzmanlar, sektördeki geri dönüşüm ve atık su geri kazanım eksiğinin, aşırı su kullanımının en önemli nedenleri olarak gösteriyor."
Çevre,Deniz suyu sıcaklıklarında artış zararlı bakterilerin oluşumunu tetikliyor,Küresel ısınma nedeniyle deniz suyu sıcaklığı artıyor. Uzmanlar sulardaki sıcaklık artışlarının insan sağlığını olumsuz etkileyen bakterilerin oluşumunu artırdığını söylüyor.
Çevre,"Küçük ada ülkeleri, yüksek emisyon salımı yapan ülkelere dava açıyor","İklim krizinden orantısız bir şekilde etkilenen küçük ada ülkeleri, okyanusları korumayı amaçlayan ilk iklim adaleti davası olarak görülen duruşmada, 11 Eylül'de Almanya'nın Hamburg kentindeki bir mahkemede yüksek emisyona sahip ülkelerle karşı karşıya gelecek."
Çevre,Kuraklık ve yer altı suyu kullanımı obruk oluşumunu artırıyor,"Konya Teknik Üniversitesi Obruk Araştırma ve Uygulama Merkezi Müdürü Prof. Dr. Fetullah Arık, ülke genelinde derin kuyu şeklindeki obrukların sayısının binin üzerinde olduğunu söyledi."
Çevre,Sel anında ve sonrasında nelere dikkat edilmeli?,"Şiddetli sağanağın ardından gelen ani seller, çoğu zaman mal kimi zaman da ne yazık ki can kayıplarına neden oluyor. Selin verdiği zararı en aza indirebilmek için alınması gereken önlemler var. Sel anında ve sonrasında ne yapılması gerektiği konusunda bilinçli olmak da hayati öneme sahip."
Çevre,Birleşmiş Milletler: Denizlerden yıllık 6 milyar ton kum çekiliyor,"Birleşmiş Milletler Çevre Programı (UNEP), deniz ve okyanuslardan yıllık 6 milyar ton kum çekildiğini ve bunun sonucunda sualtı biyolojik çeşitliliğin tehlike altında olduğunu açıkladı."
Çevre,Deniz sevdasını çevre hassasiyetiyle yaşıyorlar,"Birçoğumuz mavi bayrakları plajlarda görmeye alışığız. Ancak kriterlere uyan marina,  turizm tekneleri ve bireysel yatlar da bu bayrağa sahip olabiliyor. Kaynar ailesi, çevreye olan duyarlılıklarıyla teknelerine mavi bayrak alma hakkı kazanan sayılı kişilerden."
Çevre,Gelişen dünyanın hastalığı: Hava kirliliği,"Hava kirliliği her yıl 7 milyon kişinin ölümüne neden olurken, dünya nüfusunun neredeyse tamamı ""kaliteli havadan"" mahrum hayatını sürdürüyor."
Çevre,Orman yangını kaynaklı partiküller hava kalitesini tehdit ediyor,"İklim değişikliğiyle artan orman yangınları hava kalitesini etkiliyor. Uzmanlar, orman yangınları nedeniyle ortaya çıkan 2,5 mikrondan küçük partiküllerin, hava kalitesi açısından en tehlikeli yanma ürünlerinden olduğunu ve insan sağlığını tehdit edebileceğini söylüyor."
Çevre,Emine Erdoğan Van Gölü koruma çalışmalarıyla ilgili bilgi aldı,"Cumhurbaşkanı Recep Tayyip Erdoğan'ın eşi Emine Erdoğan, Türkiye Belediyeler Birliği (TBB) Başkanı Yücel Yılmaz ve Cumhurbaşkanı Başdanışmanı Gülşen Orhan'ı kabul ederek, Van Gölü koruma çalışmalarına dair bilgi aldı."
Çevre,Kuş gribi salgını Arjantin'de düzinelerce deniz aslanını öldürdü,"Kuş gribinin Arjantin'de çok sayıda deniz aslanını öldürmesi,  insanlara bulaşma olasılığına ilişkin korkuları artırdı."
Çevre,Giresun ladin ormanlarında biyolojik mücadele devam ediyor,"Giresun'da, doğu ladini ormanlarında dev soymuk kabuk böceği (Dendroctonus Micans) zararlısına karşı daha etkin mücadele için yararlı böcek (Rhizophagus Grandis) üretim süresinin kısaltıldığı bildirildi."
Çevre,"Hava kirliliği standardının karşılanması durumunda insan ömrü 2,3 yıl artabilir","Dünya Sağlık Örgütünün (DSÖ) hava kirliliği standardının karşılanması halinde, ortalama insan ömrünün 2,3 yıl uzayabileceği belirtildi."
Çevre,Yunanistan'daki yangınlar AB'de kayıt altına alınanların en büyüğü,"Yunanistan'ın Dedeağaç ve Meriç Bölgesi'nde 19 Ağustos'tan bu yana devam eden yangınların, Avrupa Birliği (AB) içinde 2000 yılından bu yana tutulan kayıtlardaki en büyük yangınlar olduğu bildirildi."
Çevre,Türkiye ve Avrupa'daki kayak merkezlerinin neredeyse tamamı yüksek risk altında,"Fosil yakıtların neden olduğu emisyonlardaki artış ve buna bağlı olarak sıcaklıkların yükselmeye devam etmesi halinde, Avrupa ve Türkiye'deki kayak merkezlerinin ciddi boyutta kar kıtlığıyla karşı karşıya kalacağı ve bu kayak merkezlerinin neredeyse tamamının kar tedariki açısından yüksek risk altında olduğu tespit edildi."
Çevre,Her dalışta denizden kilolarca atık topluyorlar,"Antalya'nın Konyaaltı Sahili'nde denizin dibi, atılan veya karadan ulaşan atıklarla kirleniyor. Deniz dibinde temizlik yapan Akdeniz Üniversitesi Sualtı Topluluğu üyeleri, her dalışta kilolarca atık çıkarıyor."
Çevre,Artvin’de köy çeşmesinde bulunan canlının ne olduğu ortaya çıktı,"Artvin’de köy çeşmesinde görülen ilginç canlının ne olduğu ortaya çıktı. Dicle Üniversitesi Zooloji Anabilimdalı Başkanı Prof Dr Ali Satar, canlının ""At kılı solucanları veya saç benzeri kurt"" türünden olduğunu söyledi."
ÖZEL HABER,İstanbul'da kuraklık riski: Terkos Barajı tamamen kurumanın eşiğinde,İstanbul’un en önemli tatlı su kaynaklarından olan Terkos Barajı'nın doluluk oranı yüzde 18'in altına düştü. Göl artık kuruma tehlikesi ile yüz yüze...
Çevre,İklim Kanunu teklifi TBMM gündemine gelecek,"TBMM Çevre Komisyonu Başkanı ve AK Parti İstanbul Milletvekili Murat Kurum, ""Yüce Meclis'imizin açılmasıyla önümüzdeki 100 yılı şekillendirecek bir çerçeveye sahip olacak İklim Kanunu'nu Çevre Komisyonumuzda görüştükten hemen sonra Meclis'imizin onayına sunacağız"" bilgisini verdi."
Çevre,İzmit Körfezi'nden bu yıl 43 bin metrekare hayalet ağ çıkartıldı,"İzmit Körfezi'nde biyolojik çeşitliliğin korunması çalışmaları kapsamında, bu yıl su altında yapılan taramalarda 43 bin metrekare hayalet ağ çıkartıldı."
Çevre,İzmit Körfezi'ni kirleten gemiye 49 milyon 929 bin lira ceza kesildi,"Kocaeli'de, İzmit Körfezi'ni kirleten gemiye 49 milyon 929 bin 591 lira ceza uygulandı."
Çevre,"Küresel ısınma devam ederse, imparator penguen kolonilerinin yüzde 90'ı 2100'de yok olacak","İngiliz Antarktika Araştırmaları Enstitüsü (BAS), 2100 yılına gelindiğinde Antarktika'daki imparator penguen kolonilerinin yüzde 90 oranında yok olacağını bildirdi."
Çevre,"Sıfır atık kampanyası kapsamında Konya'da ""42 Bin İnci İçin Ben De Varım""","Konya'da, Necmettin Erbakan Üniversitesi ve Konya Organize Sanayi Bölgesi'nin de destek verdiği ilköğretim öğrencilerine sıfır atık bilinci oluşturmayı hedefleyen ""42 Bin İnci İçin Ben De Varım"" projesinin bilgilendirme toplantısı yapıldı."
Çevre,İklim değişikliği Türkiye'nin kuzey bölgelerinde orman yangını riskini artırıyor,"Karadeniz Teknik Üniversitesi Orman Fakültesi Orman Mühendisliği Bölümü Öğretim Üyesi Prof. Dr. Ertuğrul Bilgili, iklim değişikliği nedeniyle Türkiye'nin kuzey bölgelerinde orman yangını riskinin arttığını, İç Batı Karadeniz Bölgesi ile Çorum ve Çankırı'nın kuzeylerinde yangınlar konusunda sıkıntı yaşanabileceği uyarısında bulundu."
Çevre,"Cumhurbaşkanı Erdoğan'ın G20 ve BM'de özel gündemi ""iklim değişikliği"" olacak","Cumhurbaşkanı Recep Tayyip Erdoğan, 9-10 Eylül'de Hindistan'da yapılacak G20 Liderler Zirvesi ile ardından ABD'nin New York kentinde gerçekleştirilecek BM Genel Kurul toplantısında iklim değişikliğiyle mücadeleye ilişkin hususları gündeme taşıyacak."
Çevre,"DSÖ Genel Direktörü Ghebreyesus: ""İklim değişikliği uzak bir tehdit değil""","Dünya Sağlık Örgütü (DSÖ) Genel Direktörü Tedros Adhanom Ghebreyesus, iklim değişikliğinin uzak bir tehdit olmadığını, yaşamları ve ekosistemleri etkilediğini söyledi."
Çevre,Orman yangınlarına 'gönüllü' kalkanı,"Tarım ve Orman Bakanı İbrahim Yumaklı, toplumu orman yangınları konusunda bilinçlendirmek amacıyla başlatılan gönüllü uygulamasında 118 bin orman yangın gönüllüsünün alevlerle mücadeleye güç kattığını belirterek, ""Gençlerimiz başta olmak üzere şartları taşıyan vatandaşlarımızın gönüllü ordumuza katılmalarını bekliyoruz"" dedi."
Çevre,"Dünya çıkış arıyor: İklim krizi mi, iklim göçü mü?","""Rekor"" düzeyde seyreden sıcaklıklarla kendini gösteren iklim krizi; orman yangıları, kuraklık ve sel gibi sınamalarla Sahra Altı Afrika, Güney Asya ve Güneydoğu Asya gibi en kırılgan yerlerde göç dalgalarına yol açarken dünya, ""İklim kriziyle mi yoksa onun yol açtığı göçle mi mücadele etmeli?"" sorusuna yanıt arıyor."
Çevre,Ankara'nın koruma altındaki 'ağaç müzesi',"Ankara Üniversitesi Fen Fakültesi yerleşkesi, mimarisi ve barındırdığı egzotik canlı türleri ile 3'üncü derece sit alanı olarak korunuyor. Fakültede biyoloji ve botanik okuyan öğrencilerin uygulama alanı da olan ve 'ağaç müzesi' olarak bilinen yerleşke, ziyaretçilerin de ilgi odağı."
Çevre,Tokat'ta 1700 rakımlı yaylalardan toplanan madımak sofralardaki yerini aldı,Tokat’ın Başçiftlik ilçesinde yaz aylarında 1700 rakımlı yaylalardan toplanan madımak sofraları süslüyor.
Çevre,"İstilacı taraklı medüzler, yerel balık stoklarını azaltıyor","Prof. Dr. Melek İşinibilir Okyar, istilacı türlerden biri olan taraklı medüzün İstanbul Boğazı vasıtasıyla Marmara Denizi'ne taşındığını söyleyerek, ""Marmara Denizi, Karadeniz'den sonra Türkiye'nin ikinci önemli balıkçılık alanı. Burada hamsi başta olmak üzere sardalya ve çaça gibi balıkların stoklarında çok ciddi azalmalara sebep oldu"" dedi."
ÖZEL HABER,Kuşların yolculuğu halkayla takip ediliyor,"Ornitoloji (kuş bilimi) için önemli bir çalışma olan halkalama, Türkiye’de de 20 yıldan uzun bir süredir yapılıyor. Geçtiğimiz yıl 27 bin 780 kuşa halka takıldı. Yapılan çalışmalar kapsamında 2012 yılında Finlandiya’da halkalanan bir karasırtlı martı, 10 yıl sonra Türkiye’de görüldü. Karasırtlı martının tam 2 bin 809 km’yi aşarak Türkiye’ye geldi."
Çevre,Karadeniz ısınıyor: Biyolojik çeşitlilik risk altında,Karadeniz'de yüzey sıcaklığındaki artış derinlere yayıldı. 7 derece ve altında olması gereken soğuk ara tabaka 8 derecenin altına inmiyor. Bu durum akıntılarda değişime ve oksijenli tabakanın incelmesine bağlı olarak biyolojik çeşitliliğin azalmasına neden oluyor.
Çevre,"Avrasya Tüneli'ne ""Mavi Nokta Ağı Sertifikası""","Asya ve Avrupa kıtalarını deniz tabanının altından birbirine bağlayarak yolculuk süresini 5 dakikaya indiren Avrasya Tüneli, ""Mavi Nokta Ağı Sertifası"" kapsamında dünyada ulaştırma alanındaki ilk pilot proje oldu."
Çevre,"Barajda su seviyesi düştü, eski kara yolu ortaya çıktı","Balıkesir'in içme ve sulama suyu ihtiyacını karşılayan, daha önce de tarımsal sulamaya kapatılan İkizcetepeler Barajı'nda su seviyesi, yüzde 23,72'e kadar düştü."
Çevre,"Orman yangınlarına ""yapay zeka"" desteği","Tarım ve Orman Bakanlığı, orman yangınlarının önceden tahmin edilebilmesi ve gerekli tedbirlerin alınabilmesi amacıyla uygulamaya aldığı yapay zeka destekli ""Yangın Risk Yönetimi Projesi"" kapsamında 400'den fazla veriyi kullanarak yangın riski haritaları oluşturdu."
DOSYA HABER,Türkiye’nin deniz suyu sıcaklıklarında 2 derecelik artış var,"Küresel ısınma ve El Nino hava akımıyla etkisini gösteren kavurucu sıcaklar, deniz suyu sıcaklıklarını da artırıyor. Akdeniz Havzası’nda yer alan Türkiye’nin denizlerinde, 40 yılda ortalama 2 derecelik artış söz konusu. Bu artış birçok sorunu da beraberinde getiriyor."
Çevre,Türkiye'nin en yüksek ikinci zirvesi olan Cilo Dağı'nda buzullar eriyor,Küresel ısınma nedeniyle Türkiye'nin en yüksek ikinci zirvesi olan ve buzul dağı olarak da bilinen Hakkari'deki Cilo Dağı'nda buzullar eriyor. İstanbul Üniversitesi-Cerrahpaşa Mühendislik Fakültesi Jeoloji Mühendisliği Bölümü'nden 4 bilim insanı Cilo Dağı'na çıkarak incelemelerde bulundu.
Çevre,İstanbul'da su tasarrufu için 'perlatör' dağıtılacak,"İSKİ, kentte yaşanan kuraklığa karşı tüketimi yüksek abonelerden başlayarak musluklara su aparatı takılacağını duyurdu."
Çevre,Okyanus ısı rekoru kırıldı: Dünya için sonuçları ne olacak?,"Okyanuslar, iklim değişikliğinden kaynaklanan sıcaklığı emdikçe, şimdiye kadar kaydedilen en yüksek sıcaklıklarına ulaştı ve bu da gezegenimizin sağlığı için korkunç sonuçlar doğurdu."
Çevre,"Bilim insanlarına göre katil balinaların ""teknelere saldırması"" oyun amacıyla olabilir","Bilim insanları, ""orka"" olarak da bilinen katil balinaların son yıllarda sıklaşan ""teknelere saldırma"" alışkanlıklarının bir tür oyun olabileceğini belirtti."
Çevre,Çanakkale’de Kumköy Barajı tamamen kurudu,"Çanakkale’nin Eceabat ilçesine bağlı, topraklarının verimliliğiyle bilinen Kumköy köyünde baraj tamamen kurudu."
Çevre,Dünya bir yıllık doğal kaynağını 214 günde tüketti,"Gezegenin sunduğu 1 yıllık doğal kaynağın insanlar tarafından kullanımı ölçülerek hesaplanan Dünya Limit Aşım günü bu yıl 2 Ağustos olarak belirlenirken bu yılın kaynaklarını 214 günde tüketen dünya, yarından itibaren gelecek yıldan borçlanacak."
Çevre,"İngiltere'de geçen yılki 'rekor sıcaklıklar', bu yüzyılın sonunda 'serin' kabul edilecek","İngiltere Meteoroloji Ofisi (Met) tahminlerine göre, İngiltere’de 2022 yılında kırılan sıcaklık rekorları, bu yüzyılın sonunda “serin” olarak kabul edilecek."
Çevre,Binlerce penguen sahilde ölü bulundu,Yaklaşık 2 bin Macellan pengueni aşırı derecede zayıf vücutlarla Uruguay sahillerinde ölü bulundu.
Çevre,Dünyada son 10 yılda yaklaşık 82 milyon hektar ormanlık alan yandı,"Dünyanın dört bir yanında son 10 yılda yaklaşık 82 milyon hektarlık ormanlık alan yangınlarda yok olurken, en büyük felaketler Avustralya, Rusya, Kanada ve ABD'de yaşandı."
Çevre,"Gezegende yeni rekor: Florida okyanusu, jakuzi sıcaklığına ulaştı",Florida Keys çevresindeki yüzey okyanus sıcaklığı bu hafta 38.43 dereceye yükseldi. Bu okyanus ısısı küresel bir rekor olabilir.
DOSYA HABER,Gıda güvenliği riskte: Küresel ısınma tarımı tehlikeye atıyor,"Küresel ısınmayla her geçen gün daha sıcak olan dünyada tarım ürünleri de tehdit altında. Tarım bölgelerinde yaşanan aşırı hava olayları ciddi verim düşüşlerine yol açıyor. Araştırmalara göre, gelecekte daha etkin önlemler almak ve sürdürülebilir tarım uygulamalarını yaygınlaştırmak, küresel gıda güvenliğini sağlamak için önemli bir unsur."
